date,location,attendance,inning,inning_top_bot,score,batting,fielding,description,game_pbp_url,game_pbp_id
02/06/2022,The Yard | Redlands,NA,1,top,0-0,Puget Sound,Redlands,K. Strash grounded out to 2b.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,1,top,0-0,Puget Sound,Redlands,D. Joyce grounded out to ss.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,1,top,0-0,Puget Sound,Redlands,M. Murashige singled.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,1,top,0-0,Puget Sound,Redlands,G. Parascond struck out swinging.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,1,top,0-4,Puget Sound,Redlands,H: 1 LOB: 1,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,1,bot,0-0,Redlands,Puget Sound,J. Anderson doubled.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,1,bot,0-0,Redlands,Puget Sound,J. Advincula singled; J. Anderson advanced to third.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,1,bot,0-3,Redlands,Puget Sound,"M. Clark homered, 3 RBI; J. Advincula scored; J. Anderson scored.",https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,1,bot,0-3,Redlands,Puget Sound,M. Kirkland struck out swinging.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,1,bot,0-3,Redlands,Puget Sound,M. Brumbaugh struck out swinging.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,1,bot,0-3,Redlands,Puget Sound,M. Smyley singled.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,1,bot,0-4,Redlands,Puget Sound,"O. Barraza tripled, RBI; M. Smyley scored.",https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,1,bot,0-4,Redlands,Puget Sound,G. Ceja flied out to rf.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,1,top,0-4,Puget Sound,Redlands,R: 4 H: 5 LOB: 1,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,2,top,0-4,Puget Sound,Redlands,J. Kim grounded out to 2b.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,2,top,0-4,Puget Sound,Redlands,C. Waltz doubled.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,2,top,0-4,Puget Sound,Redlands,A. Sullivan struck out looking.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,2,top,0-4,Puget Sound,Redlands,W. Gross grounded out to 2b.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,2,top,0-9,Puget Sound,Redlands,H: 1 LOB: 1,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,2,bot,0-4,Redlands,Puget Sound,P. Walsh flied out to cf.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,2,bot,0-4,Redlands,Puget Sound,J. Anderson singled.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,2,bot,0-4,Redlands,Puget Sound,J. Advincula walked; J. Anderson advanced to second.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,2,bot,0-5,Redlands,Puget Sound,"M. Clark singled, RBI; J. Advincula advanced to second; J. Anderson scored.",https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,2,bot,0-6,Redlands,Puget Sound,"M. Kirkland doubled, RBI; M. Clark advanced to third; J. Advincula scored.",https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,2,bot,0-6,Redlands,Puget Sound,M. Brumbaugh lined out to ss.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,2,bot,0-9,Redlands,Puget Sound,"M. Smyley homered, 3 RBI; M. Kirkland scored; M. Clark scored.",https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,2,bot,0-9,Redlands,Puget Sound,O. Barraza popped up to 2b.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,2,top,0-9,Puget Sound,Redlands,R: 5 H: 4,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,3,top,0-9,Puget Sound,Redlands,C. Hirano singled.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,3,top,0-9,Puget Sound,Redlands,K. Strash singled; C. Hirano advanced to second.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,3,top,0-9,Puget Sound,Redlands,D. Joyce struck out swinging.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,3,top,0-9,Puget Sound,Redlands,M. Murashige flied out to lf.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,3,top,0-9,Puget Sound,Redlands,G. Parascond struck out swinging.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,3,top,0-9,Puget Sound,Redlands,H: 2 LOB: 2,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,3,bot,0-9,Redlands,Puget Sound,H. Baker to p for C. Pullen.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,3,bot,0-9,Redlands,Puget Sound,G. Ceja grounded out to c.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,3,bot,0-9,Redlands,Puget Sound,P. Walsh flied out to cf.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,3,bot,0-9,Redlands,Puget Sound,J. Anderson flied out to lf.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,4,top,0-9,Puget Sound,Redlands,C. Kundig to p for A. Rueter.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,4,top,0-9,Puget Sound,Redlands,J. Kim struck out looking.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,4,top,0-9,Puget Sound,Redlands,C. Waltz singled.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,4,top,0-9,Puget Sound,Redlands,A. Sullivan struck out swinging.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,4,top,0-9,Puget Sound,Redlands,W. Gross grounded out to 2b.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,4,top,0-9,Puget Sound,Redlands,H: 1 LOB: 1,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,4,bot,0-9,Redlands,Puget Sound,S. Murphy to c for C. Waltz.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,4,bot,0-9,Redlands,Puget Sound,J. Carrillo to ss for W. Gross.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,4,bot,0-9,Redlands,Puget Sound,J. Advincula flied out to ss.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,4,bot,0-9,Redlands,Puget Sound,"M. Clark struck out swinging, grounded out to c unassisted.",https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,4,bot,0-9,Redlands,Puget Sound,M. Kirkland out at first 1b to p.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,5,top,0-9,Puget Sound,Redlands,C. Hirano reached first on an error by 3b.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,5,top,0-9,Puget Sound,Redlands,K. Strash singled; C. Hirano advanced to second.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,5,top,1-9,Puget Sound,Redlands,"D. Joyce singled, RBI; K. Strash advanced to second; C. Hirano scored, unearned.",https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,5,top,2-9,Puget Sound,Redlands,"M. Murashige singled, advanced to second; D. Joyce advanced to third; K. Strash advanced to third, scored on an error by lf, unearned.",https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,5,top,2-9,Puget Sound,Redlands,G. Parascond walked.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,5,top,3-9,Puget Sound,Redlands,"J. Kim singled, RBI; G. Parascond advanced to second; M. Murashige advanced to third; D. Joyce scored.",https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,5,top,4-9,Puget Sound,Redlands,"S. Murphy hit by pitch, RBI; J. Kim advanced to second; G. Parascond advanced to third; M. Murashige scored, unearned.",https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,5,top,4-9,Puget Sound,Redlands,S. Murphy advanced to second on a wild pitch; J. Kim advanced to third on a wild pitch; G. Parascond out at home c to p.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,5,top,4-9,Puget Sound,Redlands,A. Sullivan grounded out to p.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,5,top,4-9,Puget Sound,Redlands,J. Carrillo struck out swinging.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,5,bot,4-9,Redlands,Puget Sound,M. Brumbaugh singled.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,5,bot,4-9,Redlands,Puget Sound,M. Smyley popped up to 2b.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,5,bot,4-9,Redlands,Puget Sound,O. Barraza walked; M. Brumbaugh advanced to second.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,5,bot,4-9,Redlands,Puget Sound,G. Ceja grounded out to 2b; O. Barraza advanced to second; M. Brumbaugh advanced to third.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,5,bot,4-10,Redlands,Puget Sound,"P. Walsh singled, 2 RBI; O. Barraza scored; M. Brumbaugh M. Brumbaugh.",https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,5,bot,4-10,Redlands,Puget Sound,"J. Anderson struck out swinging, out at first c to 1b.",https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,6,top,4-10,Puget Sound,Redlands,T. Reiter to p for C. Kundig.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,6,top,4-10,Puget Sound,Redlands,L. Vries to rf for G. Ceja.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,6,top,4-10,Puget Sound,Redlands,C. Hirano flied out to rf.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
02/06/2022,The Yard | Redlands,NA,6,top,4-10,Puget Sound,Redlands,K. Strash struck out swinging.,https://stats.ncaa.org/game/play_by_play/5198134,5198134
