date,location,attendance,inning,inning_top_bot,score,batting,fielding,description,game_pbp_url,game_pbp_id
02/11/2022,The Yard | Redlands,NA,1,top,0-0,Cal State LA,Redlands,PACHECO singled.,https://stats.ncaa.org/game/play_by_play/5201884,5201884
02/11/2022,The Yard | Redlands,NA,1,top,0-0,Cal State LA,Redlands,DROZDOWSKI singled; PACHECO advanced to second.,https://stats.ncaa.org/game/play_by_play/5201884,5201884
02/11/2022,The Yard | Redlands,NA,1,top,0-0,Cal State LA,Redlands,LUFF walked; DROZDOWSKI advanced to second; PACHECO advanced to third.,https://stats.ncaa.org/game/play_by_play/5201884,5201884
02/11/2022,The Yard | Redlands,NA,1,top,1-0,Cal State LA,Redlands,"PICKETTS walked, RBI; LUFF advanced to second; DROZDOWSKI advanced to third; PACHECO scored.",https://stats.ncaa.org/game/play_by_play/5201884,5201884
02/11/2022,The Yard | Redlands,NA,1,top,1-0,Cal State LA,Redlands,SALGADO flied out to lf.,https://stats.ncaa.org/game/play_by_play/5201884,5201884
02/11/2022,The Yard | Redlands,NA,1,top,3-0,Cal State LA,Redlands,"EMMONS singled, 2 RBI; PICKETTS advanced to second; LUFF scored; DROZDOWSKI scored.",https://stats.ncaa.org/game/play_by_play/5201884,5201884
02/11/2022,The Yard | Redlands,NA,1,top,3-0,Cal State LA,Redlands,CASTANEDA struck out looking.,https://stats.ncaa.org/game/play_by_play/5201884,5201884
02/11/2022,The Yard | Redlands,NA,1,top,3-0,Cal State LA,Redlands,ROSALES hit by pitch; EMMONS advanced to second; PICKETTS advanced to third.,https://stats.ncaa.org/game/play_by_play/5201884,5201884
02/11/2022,The Yard | Redlands,NA,1,top,4-0,Cal State LA,Redlands,"ATKINS walked, RBI; ROSALES advanced to second; EMMONS advanced to third; PICKETTS scored.",https://stats.ncaa.org/game/play_by_play/5201884,5201884
02/11/2022,The Yard | Redlands,NA,1,top,4-0,Cal State LA,Redlands,J. Russell to p for J. Brown.,https://stats.ncaa.org/game/play_by_play/5201884,5201884
02/11/2022,The Yard | Redlands,NA,1,top,7-0,Cal State LA,Redlands,"PACHECO doubled, 3 RBI; ATKINS scored; ROSALES scored; EMMONS scored.",https://stats.ncaa.org/game/play_by_play/5201884,5201884
02/11/2022,The Yard | Redlands,NA,1,top,7-0,Cal State LA,Redlands,DROZDOWSKI walked.,https://stats.ncaa.org/game/play_by_play/5201884,5201884
02/11/2022,The Yard | Redlands,NA,1,top,7-0,Cal State LA,Redlands,LUFF struck out swinging.,https://stats.ncaa.org/game/play_by_play/5201884,5201884
02/11/2022,The Yard | Redlands,NA,1,bot,7-0,Redlands,Cal State LA,J. Anderson flied out to cf.,https://stats.ncaa.org/game/play_by_play/5201884,5201884
02/11/2022,The Yard | Redlands,NA,1,bot,7-0,Redlands,Cal State LA,E. Nakashima struck out swinging.,https://stats.ncaa.org/game/play_by_play/5201884,5201884
02/11/2022,The Yard | Redlands,NA,1,bot,7-0,Redlands,Cal State LA,J. Advincula singled.,https://stats.ncaa.org/game/play_by_play/5201884,5201884
02/11/2022,The Yard | Redlands,NA,1,bot,7-0,Redlands,Cal State LA,J. Advincula stole second.,https://stats.ncaa.org/game/play_by_play/5201884,5201884
