date,location,attendance,inning,inning_top_bot,score,batting,fielding,description,game_pbp_url,game_pbp_id
02/26/2022,"Washington, D.C.",NA,1,top,0-0,Montclair St.,Catholic,Joe Norton grounded out to 2b (1-0 B).,https://stats.ncaa.org/game/play_by_play/5218770,5218770
02/26/2022,"Washington, D.C.",NA,1,top,0-0,Montclair St.,Catholic,Ryan McKenna lined out to lf (0-0).,https://stats.ncaa.org/game/play_by_play/5218770,5218770
02/26/2022,"Washington, D.C.",NA,1,top,0-0,Montclair St.,Catholic,Peter Cosent walked (3-2 BBBKKB).,https://stats.ncaa.org/game/play_by_play/5218770,5218770
02/26/2022,"Washington, D.C.",NA,1,top,0-0,Montclair St.,Catholic,Andrew Ollwe struck out swinging (0-2 KKS).,https://stats.ncaa.org/game/play_by_play/5218770,5218770
02/26/2022,"Washington, D.C.",NA,1,top,0-0,Montclair St.,Catholic,LOB: 1,https://stats.ncaa.org/game/play_by_play/5218770,5218770
02/26/2022,"Washington, D.C.",NA,1,bot,0-0,Catholic,Montclair St.,WATSON walked (3-2 BBBKFFFFB).,https://stats.ncaa.org/game/play_by_play/5218770,5218770
02/26/2022,"Washington, D.C.",NA,1,bot,0-0,Catholic,Montclair St.,TESORIERO flied out to rf (0-0).,https://stats.ncaa.org/game/play_by_play/5218770,5218770
02/26/2022,"Washington, D.C.",NA,1,bot,0-0,Catholic,Montclair St.,"NARDI reached on a fielder's choice (0-1 K); WATSON out at second 2b unassisted, interference.",https://stats.ncaa.org/game/play_by_play/5218770,5218770
02/26/2022,"Washington, D.C.",NA,1,bot,0-0,Catholic,Montclair St.,GIOMBETTI struck out swinging (0-2 FKS).,https://stats.ncaa.org/game/play_by_play/5218770,5218770
02/26/2022,"Washington, D.C.",NA,1,top,0-0,Montclair St.,Catholic,LOB: 1,https://stats.ncaa.org/game/play_by_play/5218770,5218770
