dataset,season,row_count,generated_at_utc
schedule,2012,33529,2026-08-27 00:07:07 UTC
schedule,2013,17436,2026-08-27 00:07:15 UTC
schedule,2014,18076,2026-08-27 00:07:23 UTC
schedule,2015,18726,2026-08-27 00:07:31 UTC
schedule,2016,22981,2026-08-27 00:07:38 UTC
schedule,2017,23189,2026-08-27 00:07:46 UTC
schedule,2018,20366,2026-08-27 00:14:14 UTC
schedule,2019,23066,2026-08-27 00:18:38 UTC
schedule,2020,6853,2026-08-27 00:21:50 UTC
schedule,2021,17688,2026-08-27 00:24:47 UTC
schedule,2022,23153,2026-08-27 00:28:48 UTC
schedule,2023,25677,2026-08-27 00:33:42 UTC
schedule,2026,46794,2026-08-27 09:35:04 UTC
