year,season_id,date,home_team,home_team_id,home_team_conference,home_team_conference_id,home_team_slug,home_team_division,away_team,away_team_id,away_team_conference,away_team_conference_id,away_team_slug,away_team_division,neutral_site,result,score,innings,slug,game_info_url,Date,Opponent,Result,opponent_slug
2020,15204,02/14/2020,UT Arlington,702,Sun Belt,818,/team/702/15204,1,A&M-Corpus Christi,26172,Southland,914,/team/26172/15204,1,NA,L,0-7,NA,/contests/1830347/box_score,https://stats.ncaa.org/contests/1830347/box_score,NA,NA,NA,NA
2020,15204,02/15/2020,UT Arlington,702,Sun Belt,818,/team/702/15204,1,A&M-Corpus Christi,26172,Southland,914,/team/26172/15204,1,NA,L,1-4,NA,/contests/1830566/box_score,https://stats.ncaa.org/contests/1830566/box_score,NA,NA,NA,NA
2020,15204,02/16/2020,UT Arlington,702,Sun Belt,818,/team/702/15204,1,A&M-Corpus Christi,26172,Southland,914,/team/26172/15204,1,NA,L,1-3,NA,/contests/1830822/box_score,https://stats.ncaa.org/contests/1830822/box_score,NA,NA,NA,NA
2020,15204,02/21/2020,A&M-Corpus Christi,26172,Southland,914,/team/26172/15204,1,Utah,732,Pac-12,905,/team/732/15204,1,NA,L,1-2,11,/contests/1831352/box_score,https://stats.ncaa.org/contests/1831352/box_score,NA,NA,NA,NA
2020,15204,02/22/2020,A&M-Corpus Christi,26172,Southland,914,/team/26172/15204,1,Kansas St.,327,Big 12,25354,/team/327/15204,1,NA,W,5-2,NA,/contests/1831748/box_score,https://stats.ncaa.org/contests/1831748/box_score,NA,NA,NA,NA
2020,15204,02/23/2020,A&M-Corpus Christi,26172,Southland,914,/team/26172/15204,1,Missouri,434,SEC,911,/team/434/15204,1,NA,L,4-8,NA,/contests/1832054/box_score,https://stats.ncaa.org/contests/1832054/box_score,NA,NA,NA,NA
2020,15204,02/24/2020,A&M-Corpus Christi,26172,Southland,914,/team/26172/15204,1,Missouri,434,SEC,911,/team/434/15204,1,NA,W,5-2,NA,/contests/1969106/box_score,https://stats.ncaa.org/contests/1969106/box_score,NA,NA,NA,NA
2020,15204,02/25/2020,Prairie View,553,SWAC,916,/team/553/15204,1,A&M-Corpus Christi,26172,Southland,914,/team/26172/15204,1,NA,W,8-4,NA,/contests/1832108/box_score,https://stats.ncaa.org/contests/1832108/box_score,NA,NA,NA,NA
2020,15204,02/28/2020,A&M-Corpus Christi,26172,Southland,914,/team/26172/15204,1,Manhattan,381,MAAC,871,/team/381/15204,1,NA,W,1-0,NA,/contests/1832535/box_score,https://stats.ncaa.org/contests/1832535/box_score,NA,NA,NA,NA
2020,15204,02/29/2020,A&M-Corpus Christi,26172,Southland,914,/team/26172/15204,1,Manhattan,381,MAAC,871,/team/381/15204,1,NA,L,8-9,10,/contests/1832924/box_score,https://stats.ncaa.org/contests/1832924/box_score,NA,NA,NA,NA
2020,15204,03/01/2020,A&M-Corpus Christi,26172,Southland,914,/team/26172/15204,1,Manhattan,381,MAAC,871,/team/381/15204,1,NA,W,7-6,10,/contests/1833193/box_score,https://stats.ncaa.org/contests/1833193/box_score,NA,NA,NA,NA
2020,15204,03/02/2020,UTSA,706,C-USA,24312,/team/706/15204,1,A&M-Corpus Christi,26172,Southland,914,/team/26172/15204,1,NA,W,7-6,NA,/contests/1833327/box_score,https://stats.ncaa.org/contests/1833327/box_score,NA,NA,NA,NA
2020,15204,03/03/2020,Texas A&M,697,SEC,911,/team/697/15204,1,A&M-Corpus Christi,26172,Southland,914,/team/26172/15204,1,NA,L,4-5,NA,/contests/1833503/box_score,https://stats.ncaa.org/contests/1833503/box_score,NA,NA,NA,NA
2020,15204,03/06/2020,A&M-Corpus Christi,26172,Southland,914,/team/26172/15204,1,UIW,2743,Southland,914,/team/2743/15204,1,NA,W,3-2,NA,/contests/1833967/box_score,https://stats.ncaa.org/contests/1833967/box_score,NA,NA,NA,NA
2020,15204,03/07/2020,A&M-Corpus Christi,26172,Southland,914,/team/26172/15204,1,UIW,2743,Southland,914,/team/2743/15204,1,NA,L,0-5,NA,/contests/1834366/box_score,https://stats.ncaa.org/contests/1834366/box_score,NA,NA,NA,NA
